Начало мониторинга ресурсов с интервалом 2000ms
Мониторинг продлится 180 секунд
Контейнеры для мониторинга: backend, postgres, redis
Метрики будут сохранены в: /home/eugene/fullStack/stress/stress-test-metrics.json
CSV-отчет будет сохранен в: /home/eugene/fullStack/stress/stress-test-metrics.csv
- backend: CPU: 281.81%, Memory: 52.82%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:43:21.075Z] CPU: 4.73%, Memory: 61.59%
- backend: CPU: 283.47%, Memory: 52.61%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:43:23.083Z] CPU: 4.73%, Memory: 61.72%
- backend: CPU: 317.75%, Memory: 50.03%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.45%, Memory: 3.45%
[2025-04-20T10:43:25.092Z] CPU: 4.73%, Memory: 62.33%
- backend: CPU: 277.43%, Memory: 52.30%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.43%, Memory: 3.45%
[2025-04-20T10:43:27.100Z] CPU: 4.74%, Memory: 62.30%
- backend: CPU: 281.28%, Memory: 51.35%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.43%, Memory: 3.45%
[2025-04-20T10:43:29.101Z] CPU: 4.74%, Memory: 62.41%
- backend: CPU: 284.91%, Memory: 51.72%
- postgres: CPU: 0.41%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.45%
[2025-04-20T10:43:31.109Z] CPU: 4.74%, Memory: 61.90%
- backend: CPU: 290.42%, Memory: 52.72%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.55%
[2025-04-20T10:43:33.111Z] CPU: 4.74%, Memory: 57.55%
- backend: CPU: 253.91%, Memory: 52.37%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.45%
[2025-04-20T10:43:35.118Z] CPU: 4.74%, Memory: 58.03%
- backend: CPU: 281.77%, Memory: 51.97%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:43:37.122Z] CPU: 4.74%, Memory: 52.08%
- backend: CPU: 285.37%, Memory: 52.35%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.45%
[2025-04-20T10:43:39.130Z] CPU: 4.74%, Memory: 52.62%
- backend: CPU: 294.62%, Memory: 49.82%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.34%, Memory: 3.45%
[2025-04-20T10:43:41.137Z] CPU: 4.75%, Memory: 52.85%
- backend: CPU: 274.79%, Memory: 48.86%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.55%
[2025-04-20T10:43:43.140Z] CPU: 4.75%, Memory: 52.58%
- backend: CPU: 285.45%, Memory: 52.53%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:43:45.148Z] CPU: 4.75%, Memory: 53.18%
- backend: CPU: 276.53%, Memory: 52.29%
- postgres: CPU: 1.87%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.45%
[2025-04-20T10:43:47.157Z] CPU: 4.75%, Memory: 52.40%
- backend: CPU: 300.68%, Memory: 52.55%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.38%, Memory: 3.45%
[2025-04-20T10:43:49.165Z] CPU: 4.75%, Memory: 52.90%
- backend: CPU: 280.15%, Memory: 49.48%
- postgres: CPU: 0.40%, Memory: 3.98%
- redis: CPU: 0.41%, Memory: 3.45%
[2025-04-20T10:43:51.172Z] CPU: 4.75%, Memory: 52.77%
- backend: CPU: 290.26%, Memory: 52.56%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:43:53.180Z] CPU: 4.75%, Memory: 52.57%
- backend: CPU: 298.70%, Memory: 52.59%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.35%, Memory: 3.45%
[2025-04-20T10:43:55.188Z] CPU: 4.75%, Memory: 52.77%
- backend: CPU: 291.30%, Memory: 52.55%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.36%, Memory: 3.45%
[2025-04-20T10:43:57.197Z] CPU: 4.76%, Memory: 52.91%
- backend: CPU: 290.69%, Memory: 50.85%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.45%
[2025-04-20T10:43:59.206Z] CPU: 4.76%, Memory: 53.40%
- backend: CPU: 312.70%, Memory: 52.72%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.45%
[2025-04-20T10:44:01.213Z] CPU: 4.76%, Memory: 53.13%
- backend: CPU: 294.09%, Memory: 45.85%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.31%, Memory: 3.55%
[2025-04-20T10:44:03.221Z] CPU: 4.76%, Memory: 53.79%
- backend: CPU: 283.56%, Memory: 49.43%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.45%
[2025-04-20T10:44:05.225Z] CPU: 4.76%, Memory: 52.90%
- backend: CPU: 296.80%, Memory: 51.17%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.36%, Memory: 3.45%
[2025-04-20T10:44:07.233Z] CPU: 4.76%, Memory: 52.46%
- backend: CPU: 196.77%, Memory: 50.57%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
[2025-04-20T10:44:09.240Z] CPU: 4.76%, Memory: 51.91%
- backend: CPU: 244.21%, Memory: 48.09%
- postgres: CPU: 0.33%, Memory: 3.98%
- redis: CPU: 0.32%, Memory: 3.45%
[2025-04-20T10:44:11.248Z] CPU: 4.76%, Memory: 52.73%
- backend: CPU: 247.89%, Memory: 52.42%
- postgres: CPU: 0.01%, Memory: 3.98%
- redis: CPU: 0.34%, Memory: 3.45%
[2025-04-20T10:44:13.257Z] CPU: 4.76%, Memory: 52.60%
- backend: CPU: 225.36%, Memory: 52.01%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.38%, Memory: 3.45%
[2025-04-20T10:44:15.265Z] CPU: 4.77%, Memory: 52.81%
- backend: CPU: 201.97%, Memory: 49.78%
- postgres: CPU: 1.46%, Memory: 3.98%
- redis: CPU: 0.37%, Memory: 3.55%
[2025-04-20T10:44:17.269Z] CPU: 4.77%, Memory: 52.41%
- backend: CPU: 214.55%, Memory: 49.48%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.45%
[2025-04-20T10:44:19.277Z] CPU: 4.77%, Memory: 53.07%
- backend: CPU: 258.18%, Memory: 46.07%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.39%, Memory: 3.45%
[2025-04-20T10:44:21.285Z] CPU: 4.77%, Memory: 52.44%
- backend: CPU: 219.01%, Memory: 50.21%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.38%, Memory: 3.55%
[2025-04-20T10:44:23.294Z] CPU: 4.77%, Memory: 52.24%
